Idx	Frequency	Coverage (%)	Phrase
153	1251	31.86	，我
154	1251	31.91	這個
155	1250	31.97	什麼
156	1249	32.01	一些
157	1233	32.06	需
158	1228	32.12	生
159	1225	32.19	正在
160	1217	32.25	可
161	1216	32.30	的是
162	1213	32.36	都會
163	1212	32.42	本
164	1209	32.47	希望
165	1208	32.47	《
166	1200	32.51	間
167	1173	32.57	》
168	1165	32.61	樣
169	1160	32.66	於是
170	1158	32.72	現
171	1149	32.76	小
172	1146	32.81	不過
173	1117	32.86	我的
174	1106	32.91	感到
175	1102	32.95	向
176	1099	32.99	就會
177	1094	33.05	啊
178	1089	33.10	篇
179	1080	33.15	關於
180	1078	33.20	放
181	1077	33.25	且
182	1077	33.30	參加
183	1067	33.34	方
184	1059	33.40	坐
185	1058	33.43	性
186	1058	33.48	感
187	1045	33.52	作
188	1043	33.57	一直
189	1043	33.61	因此
190	1039	33.66	見
191	1035	33.71	發
192	1035	33.74	等
193	1035	33.79	之後
194	1018	33.83	一樣
195	1016	33.87	走
196	1016	33.92	開
197	1014	33.97	文
198	1006	34.02	感覺
199	1003	34.07	該
200	1002	34.11	其他
201	1002	34.16	前
202	996	34.21	這是
203	996	34.25	邊
204	996	34.29	每
205	990	34.33	通過
206	983	34.38	聽
207	982	34.41	位
208	981	34.46	來說
209	980	34.50	或
210	977	34.54	受
211	975	34.59	然
212	975	34.64	變
213	966	34.68	認爲
214	962	34.71	相
215	962	34.75	的人
216	957	34.79	時間
217	947	34.84	先
218	946	34.90	大家
219	925	34.94	道
220	921	34.98	字
221	911	35.02	門
222	910	35.06	能夠
223	909	35.10	知道
224	903	35.13	以及
225	899	35.17	既
226	894	35.20	情
227	884	35.25	玩
228	884	35.30	買
229	877	35.34	變得
230	877	35.38	那麼
231	875	35.41	可能
232	866	35.45	份
233	866	35.49	東西
234	856	35.53	經
235	850	35.55	由於
236	845	35.59	別
237	836	35.63	中文
238	835	35.67	少
239	835	35.71	或者
240	833	35.74	起來
241	831	35.78	高
242	823	35.82	經常
243	815	35.85	時候
244	809	35.89	比較
245	809	35.93	期
246	806	35.96	同
247	805	36.00	帶
248	802	36.04	剛
249	787	36.07	張
250	786	36.12	教
251	780	36.15	都是
252	778	36.19	年
253	776	36.23	只有
254	772	36.26	兒
255	772	36.29	心
256	768	36.34	打算
257	760	36.37	進行
258	759	36.40	長
259	757	36.43	花
260	753	36.47	就是
261	748	36.50	地方
262	739	36.55	練習
263	739	36.58	找
264	739	36.63	喝
265	739	36.66	發現
266	739	36.71	叫
267	734	36.75	哪
268	731	36.79	送
269	731	36.82	條
270	730	36.85	事情
271	725	36.88	國
272	719	36.92	待
273	717	36.96	隻
274	716	37.00	漢語
275	716	37.03	進
276	715	37.07	認
277	710	37.10	自
278	707	37.13	達
279	689	37.15	由
280	685	37.19	快
281	685	37.22	以後
282	682	37.26	離
283	675	37.29	應
284	674	37.32	了，
285	673	37.35	今天
286	671	37.39	兩
287	670	37.42	助
288	668	37.45	課
289	667	37.47	爲了
290	665	37.50	度
291	665	37.53	那裏
292	663	37.57	第
293	659	37.60	問
294	658	37.63	行
295	656	37.66	生活
296	654	37.69	都在
297	650	37.72	覺
298	645	37.75	名
299	644	37.78	問題
300	643	37.80	著
301	641	37.83	者
302	640	37.86	一次
303	638	37.90	交
304	636	37.93	場
305	635	37.97	怎麼
306	634	38.00	您
307	622	38.03	最後
308	619	38.05	即使
309	610	38.08	同時
310	610	38.11	讀
311	609	38.14	告訴
312	608	38.17	怎
313	608	38.20	水平
314	605	38.22	掉
315	605	38.25	節
316	604	38.28	中國
317	604	38.30	幫
318	604	38.32	.
319	603	38.35	準備
320	599	38.38	理
321	594	38.41	瞭解
322	594	38.44	的地方
323	591	38.47	可是
324	589	38.50	給我
325	587	38.53	以前
326	585	38.56	繼續
327	581	38.59	提高
328	577	38.63	去了
329	577	38.65	對於
330	576	38.67	入
331	576	38.70	接
332	571	38.73	收
333	571	38.75	新
334	570	38.79	真的
335	569	38.82	麼
336	569	38.84	通
337	568	38.87	比
338	567	38.89	便
339	567	38.92	必須
340	565	38.95	菜
341	565	38.98	首
342	562	39.02	今年
343	562	39.04	則
344	558	39.07	懂
345	558	39.09	因為
346	557	39.12	其中
347	552	39.14	光
348	551	39.17	有點
349	551	39.20	講
350	548	39.23	來自
351	547	39.26	加
352	546	39.28	之前
353	542	39.31	其
354	539	39.33	一點
355	535	39.36	是很
356	533	39.39	其實
357	532	39.41	全
358	532	39.44	日
359	530	39.46	式
360	529	39.49	意
361	528	39.51	成爲
362	525	39.54	發生
363	524	39.56	是否
364	521	39.59	修
365	520	39.62	法
366	520	39.64	此
367	517	39.66	書
368	513	39.68	總
369	513	39.71	這些
370	511	39.73	無法
371	506	39.75	類
372	506	39.77	今
373	504	39.79	樣的
374	503	39.82	飯
375	503	39.84	連
376	501	39.87	的事
377	501	39.89	直
378	500	39.91	力
379	499	39.93	使用
380	498	39.95	處
381	497	39.98	另外
382	496	40.00	歷
383	496	40.03	改
